description,neighborhood_overview,notes,transit,access,interaction,house_rules,host_id,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_identity_verified,neighbourhood_cleansed,zipcode,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,nightly_price,price_per_stay,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_stays,first_review,last_review,instant_bookable,cancellation_policy,has_hot_water,has_smoke_detector,has_carbon_monoxide_detector,has_heating,has_essentials,has_kitchen,has_laptop_friendly_workspace,has_hangers,has_air_conditioning,has_iron,has_tv,has_wifi,has_lock_on_bedroom_door,has_gym,has_pool,has_hot_tub,has_free_parking_on_premises,has_elevator,has_private_entrance,guest_satisfaction
bettys beach bungalow walk everything bike bbq wifi fenced yard pet friendly come america finest city san diego vacation pacific beachmission beach bay area without paying fortune bettys bungalow adorable reasonablypriced house located main street heart pacific beach within block dozen restaurant grocery store shop bar nightclub 5 block ocean 7 block bay fenced yard make house great place family child want bring family dog along view place right water doesnt price tag either 5 block ocean pleasant walk quick bike ride enjoy san diego offer comfortable 2br1ba house forced air heating oak hardwood floor topoftheline queen bed bunk bed doublefull size mattress upper lower bed,activity amusement park antiquing basketball beachcombing biking bird watching boating botanical garden casino gambling fishing golf hiking horseback riding horse racing hot air ballooning ice skating jet skiing kayaking kite surfing live theatre movie mountain biking outlet shopping paddle boating paragliding parasailing rock climbing sailing scuba diving skating shopping sightseeing snorkeling surfing swimming tennis walking water skiing water tubing whale watching windsurfing local business service atm bank beauty spa church duty free shopping ecotourism fitness gym grocery health spa hospital laundromat legoland library mall marina medical service massage service museum park playground restaurant scenic drive seaworld synagogue water park winery tour wildlife park zoo,please note booking policy phone number hidden airbnb holiday booking policy saturday saturday 67 night reservation time period decemb phone number hidden airbnb january 4 phone number hidden airbnb summer phone number hidden airbnb booking policy saturday saturday required 67 night reservation july 4th phone number hidden airbnb checkin checkout permitted sunday sunday reservation holiday please inquire group accommodation differ policy may able accommodate rate subject change reservation confirmed nancy ’ vacation rental cleaning fee includes standard cleaning fee including tax nonrefundable minimum damage coverage 49 would like optout damage coverage additional security deposit 2250 required security deposit airbnb secures cover fine,recommend car navigating san diego public transportation couple block away youre planning stay put pacific beach need car ride provided bike walk neighborhood,child welcome long term renter welcome pet considered nonsmoking amenity bed queen bed 1 bunk bed 1 2 double double sofa bed 1 packnplay crib optional bath shower tub combo 1 living room gas burning stove seating 6 sofa bed tv large flat panel dining area seating 6 highchair provided kitchen blender coffee maker cookware dishware dishwasher flatware freezer glassware microwave oven refrigerator slow cooker spice stove toaster toaster oven general feature 24hour call service activity guide alarm clock ceiling fan central heating clothes dryer clothes washer electronic door lock hardwood floor hair dryer iron board local map restaurant dining guide parking offstreet 3 onstreet outdoor feature barbecue grill gas chair 4 deck patio table umbrella walkway beach equipment beach chair 3 beach towel 6 beach toy bicycle 3 bodyboards 2 entertainment book dvd player game ipod player inhome theater movie library,nancy vacation rental professionally manages 55 property decade experience san diego check profile page view entire inventory business hour mondayfriday 8am7pm saturday sunday 9am7pm 247 emergency support one vacation specialist contact shortly booking reservation provide information regarding expect next answer question may require separate signed rental agreement,excessive noise party size forbidden unit quiet hour 10pm 8am please refrain loud outdoor noise activity would interfere peace quiet neighbor reserve right decline cancel evict guest violation good neighbor policy refund renter must least 25 year old must exceed maximum occupancy limit property property managed hoa renter also agree follow hoa rule regulation smoking allowed inside property premise upon confirming booking send rental agreement upcoming stay need complete unable complete submit signed agreement within 24 hour result cancellation reservation also contact within 24 hour booking obtain contact information address question concer,37353287.0,2015-07-02,san diego california united state,company family run business employing 3 generation team san diego local pride ensuring wonderful vacation providing clean beautiful property handselected offer guest best san diego offer price range budget,1,99.0,0,pacific beach,21.0,1,pacific beach,92109.0,0,24,0,6.0,1.0,2.0,4.0,283.0,987.5,0.0,199.0,1.0,0.0,4.0,28.0,10.0,20.0,2016-04-26,2019-05-27,1,3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
cozy room perfect single couple 2 people please room part three bedroom three bathroom home private entrance bathroom relaxing front patio parking available large closet microwave minifridge coffee maker room main house access cozy room part three bedroom three bathroom home private entrance relaxing front patio available parking main house access room mini fridge microwave coffee maker flat screen tv cable wifi internet connection coffee creamer sugar provided first day private bath large walkin shower huge double closet full length mirrored door room walking distance bus stop shop restaurant addition 2 12 block del mar cliff minute torrey pine beach ocean view unit pet allowed room,love del mar great coastal town upscale uppity quiet safe home 2 12 block del mar cliff minute torrey pine beach 11 mile close area del mar fairground 2 mile downtown del mar 5 mile scripps research instituteucsd 4 mile san diego international airport 19 mile away,,bus stop 100 foot del mar height rd corner camino del mar,room private bath large shower patio laundry needed,interaction guest little much comfortable guest,general rule house respect homethingsneighbors home opening please leave way found please rearrange furniture room know cozy wish something removed please ask overnights guest unless approved owner advance extra people extra charge smoking inside please outside please clean ie please dont leave butt ground etc also extreme partying loud musicnoise smoking please leave cigarette butt ground shut lock window cottage leave property stay please flush toilet paper toilet pet policy pet allowed room cottage dog allowed small fee need something please contact victoria airbnb call dee phone number provided prior arrival,5549151.0,2013-03-20,del mar california united state,victoria grew living enjoying life coast coast love explore new landscape hiking capturing memory photography base vacation around food enjoy life fullest dee owner semiretired del mar resident 40 year enjoys gardening painting taking care grandkids love living san diego weather beat,2,100.0,1,del mar height,2.0,1,del mar height,92014.0,1,24,1,2.0,1.0,1.0,1.0,70.0,140.0,100.0,40.0,2.0,10.0,2.0,29.0,122.5,245.0,2013-07-04,2019-08-01,0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
modern newer remodeled home heart bay park gorgeous house rooftop deck beautiful bay view lounge chair relax watch amazing san diego sunset mile beach downtown petco park sea world walking distance many store restaurant coffee shop bar bay park area modern newer remodeled home heart bay park gorgeous house rooftop deck beautiful bay view lounge chair relax watch amazing san diego sunset mile beach downtown petco park sea world walking distance many store restaurant coffee shop bar bay park area also 8 people house 2 cozy couch thanks entire home including private back patio yard rooftop deck available phone email anytime need anything thanks bay park cute quaint safe neighborhood heart san,bay park cute quaint safe neighborhood heart san diego across free beautiful mission bay sea world north old town mile downtown petco park zoo,garage closed locked limit guest thanks,walk many neighborhood restaurant coffee shop store drive across bridge bay,entire home including private back patio yard rooftop deck,available phone email anytime need anything thanks,please take dirty towel bedding leave pile front washing machine,130172391.0,2017-05-13,san diego california united state,,1,100.0,0,,2.0,0,bay park,92110.0,0,24,0,9.0,3.0,3.5,5.0,467.5,535.0,200.0,200.0,1.0,0.0,2.0,1125.0,31.0,62.0,2018-07-04,2019-07-29,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
enjoy true southern california experience beautiful static camper central located short 10 min drive downtown beach still tucked quiet peaceful neighborhood remodeled rv free wifi conveniently located middle san diego rv campground beautifully refurbished rv excellent choice 13 guest enjoy great adventureglamping sunny san diego camper 5 min drive old town seaworld mission bay jet ski biking recreational activity 10 min gaslamp quarterdowntown nightlife sightseeing harbor airport balboa park famous san diego zoo beach 15 min la jolla seal cove beautiful coronado island san diego attraction reached within 1015 min car lyft uber fantastic rv private bedroom small lounge double second bed people 5feet 8 shorter cooking rv please try,rv located rv campground directly water less mile mission bay east great spot bonfire jet skiing recreational sport two great coffee shop walking distance authentic mexican seafood truck liquor store one san diegos best brewery two block away,party loud noise 8am 10pm love good neighbor please one,famous tourist attraction need drive 10max 15 min car bus available uber lyft recommended,rv shower cold hot water bathroom permanently hooked water sewer electricity medium sized swimming pool within rv park,convenient self check rv ready 4pm check anytime later even late well accommodate early check noon 20 cleaning lady contact via airbnb app anytime,party loud noise 10 pm 8am must always take shoe rv violation security deposit might get charged cooking rv must leave listing broom clean condition dish done please,1005583.0,2011-08-22,san diego california united state,positive friendly active openminded tolerant multicultural global interested love traveling running swimming cycling music salsa dancing earth like music outdoors enjoy good conversation sharing glass wine food friend guest love meet traveler world many great experience hosting hope dont mind dog since rommel big old great dane quiet usually stay look forward hearing tanja,1,100.0,0,bay park,5.0,1,bay park,92110.0,1,9,0,3.0,1.0,1.0,2.0,65.0,65.0,200.0,0.0,1.0,10.0,1.0,90.0,122.5,245.0,2018-01-19,2019-07-31,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
located within clean charming 1918 craftsmanstyle home suite private feel like ’ separate unit ’ entrance living room kitchenette bedroom private half bathroom outdoor patio shower located 2nd bathroom foot outside suite although 2nd bathroom shared host private available anytime day night private suite includes private entrance private living room kitchenette private bedroom private half bathroom toilet sink private patio 2nd bathroom shower considered shared space shared host private clean accessible showering time day night 2nd bathroom conveniently located foot outside suite private hallway offstreet parking space driveway 2 bike 2 boogie board provided charge may enjoy,ocean beach one laid back relaxing beach town san diego yoga studio coffee house restaurant course beach main street block away shopping night life healthy food option important local coop 1 block away sea world 1 mile away balboa park world famous san diego zoo 10 minute drive 10 minute drive also bring hillcrest downtown san diego historic gaslamp quarter wellknown night life beachfront amusement park belmont park 2 mile away youd like ride giant dipper roller coaster whirled around ride information thing area look guidebook section listing,,ocean beach centrally located san diego bus san diego trolley system nearby also train conveniently close youd like take scenic day trip coast los angeles even disneyland biking provided bicycle around sd also fun form transportation,,im available help answer question phone text person interaction depends need including complete privacy thats desire,please smoking kind especially indoors please keep mind neighborhood respectful noise level maintained especially 9 pm 9 thanks,10644072.0,2013-12-15,san diego california united state,hi everyone ive really enjoyed hosting meeting people world airbnb look forward providing spacious clean stylish comfortable hospitable place stay visiting beautiful san diego born raised san diego answer pretty much question may beautiful city love ocean major reason live close beach make happy friend generally say im fun friendly openminded sometimes offbeat sense humor tend affirmative attitude towards life love riding bike san diego going run along beach bowling tennis going amusement park anyway im really excited looking forward hearing,1,100.0,1,ocean beach,2.0,1,loma portal,92107.0,1,24,0,2.0,1.5,1.0,1.0,95.0,95.0,250.0,40.0,2.0,0.0,1.0,31.0,122.5,245.0,2014-05-30,2019-07-31,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
beautiful loft heart little italy weekend getaway welcome single traveling friend couple looking relax short walk marina uber beach stroll gaslamp possibility endless access kitchen cooking need however amazing variety restaurant likely time cook smoking permitted partiers fury friend either lively neighbourhood calm living quarter available 30 day booking please inquire date availability guest access entire loft two closet space locked key interrupt stay mean entry exit airbnb completely independent host available need anything via phone text person needed airbnb located heart little italy minute airport flight path ferry ride away coronado walk street b,airbnb located heart little italy minute airport flight path ferry ride away coronado walk street balboa park,airbnb located light rail coaster track occasional train horn blown track noise light sleeper recommend earplug,uber lift scooter rental public transportation within walking distance,guest access entire loft two closet space locked key interrupt stay mean,entry exit airbnb completely independent host available need anything via phone text person needed,smoking pet party event checkin anytime 3pm check 11am information shoe loft absolutely smoking inside building loft quiet hour 10pm 630am ac 4pm left home must also acknowledge potential noise light rail flight path must climb stair security deposit damage home may charged 500,5105889.0,2013-02-16,san diego california united state,hi social young business woman travel weekend fun enjoy trying new restaurant exploring san diego living 15 year hope get amazing time staying place respectful belonging cheer,2,100.0,0,harborview,1.0,0,little italy,92101.0,1,15,0,2.0,1.0,1.0,1.0,156.0,987.5,600.0,0.0,2.0,50.0,6.0,1125.0,13.0,26.0,2018-09-24,2019-07-26,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
charming 2 bed 1 bath air mattress point loma 10 min walk san diego bay marina grocery store starbucks park many place eat less 10 min drive airport ocean beach newly renovated including outside deck furniture entire house convenience personal belonging get way entire house 247 response phone quite friendly neighborhood,quite friendly neighborhood,,,entire house,247 response phone,,188173912.0,2018-05-06,houston texas united state,,2,70.0,1,rosevillefleet ridge,1.0,0,roseville,92106.0,1,24,0,6.0,1.0,2.0,2.0,160.0,320.0,0.0,85.0,1.0,0.0,2.0,90.0,53.0,106.0,2018-06-17,2019-07-29,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
clean bright private room shared bathroom perfect professional town business traveler passing comfy memory foam mattress like sleeping supportive cloud little italy balboa park gaslamp district less mile easily walkable although close airport apartment professionally sound proofed noise peaceful apartment professionally cleaned guest clean hard wood floor nespresso bar full kitchen clean shared bathroom second level apartment downtown view bright window street parking easy plentiful young professional busy schedule likely house stay apartment air conditioning hill lovely breeze many large window depending check date either greet key left young professional w,banker hill beautiful quiet neighborhood high hectic city street still super central ton chic coming dining option block away historical bar aero club one block watch plane glide landing cityscape downtown san diego front stoop historical old town san diego gaslamp district course beach short drive away,flight stair get apartment although large window fan room apartment ac,close trolly station airport little italy gaslamp district less mile easily walkable uber lyft easy inexpensive san diego,depending check date either greet key left,young professional busy schedule likely house stay available cell anything might need new hosting offering first booking rebate upon checkout review,name,9209737.0,2013-10-03,san diego california united state,earth busy professional working san diego lifestyle brand pb passionate world traveler love meeting people different place background offering comfortable relaxed place lay head spare time love practice yoga visit family ventura county course travel world traveled europe good chunk southeast asianext list south africa south america home relax couch go bed early available day night need often apartment busy schedule ask respect home neighbor discretion responsibility love country music good food healthy lifestyle inspired people animal living california dream,1,100.0,0,midtown,1.0,1,midtown,92103.0,1,2,1,2.0,1.0,1.0,1.0,99.0,99.0,0.0,35.0,2.0,40.0,1.0,6.0,16.0,32.0,2018-06-15,2019-07-21,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
beach condo close belmont park seaworld marina mission bay mission beach ’ love place view location spacious clean well kept good couple solo adventurer business traveler family kid includes free wifi high speed cable internet one covered parking space locked bike room bike provided site laundry room advise family kid friendly activity restaurant shopping dining area barcounter top dining balcony bistro set watch wave roller coaster firework walk get anything convenience market coffee shop dozen shop restaurant within block also several hotel nearby want book spa treatment etc hyatt bahia dana inn paradise point name centrally located major attraction need drive anywhere walk bike mission beach,walk get anything convenience market coffee shop dozen shop restaurant within block also several hotel nearby want book spa treatment etc hyatt bahia dana inn paradise point name,turn key ready stayed time share condo past always hated provide toilet paper provide many consumables like tp paper towel foilplastic wrap laundry detergent cleaning supply basic shampooconditioner hand soap etc linen beach towel game book name special request please ask,centrally located major attraction need drive anywhere walk bike mission beach pacific beach even bike ocean beach rental bike kisosk grab go rent bike equipment daily weekly nearby ton restaurant shop walking distance south mission belmont park easily get highway drive downtown liberty station san diego zoo sea world la jolla shore little italy old town coronado island three large shopping mall movie theater within 15 minute drive uber drive 30 min lego land north county beach attraction,,,name,77827637.0,2016-06-15,san diego california united state,,3,100.0,0,mission beach,1.0,0,mission bay,92109.0,1,15,0,5.0,2.0,2.0,4.0,257.0,987.5,0.0,75.0,1.0,0.0,4.0,1125.0,2.0,4.0,2017-09-07,2017-09-20,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
charming home light coastal feel heart san diego beautifully decorated minimalistic focus fully equipped kitchen open floor plan ideal gathering relaxing kidfriendly ample parking backyard space 10 minute drive san diego convention center 10 minute drive east villagegaslamp district 8 minute drive north park 5 minute drive south park 2 bedroom equipped queen size bed queen sofa bed available well washer dryer available nursery available child highchair available upon request neighborhood small simple friendly neighbor uber lyft readily available area well limebikes scooter bird scooter bus route available two block home park simple restaurant within walking distance couple block away large grocery store restaurant option 12 mile away allow p,neighborhood small simple friendly neighbor,allow party home feel free gather relax party tolerated please remember someone home respect space accordingly,uber lyft readily available area well limebikes scooter bird scooter bus route available two block home park simple restaurant within walking distance couple block away large grocery store restaurant option 12 mile away,,,,18170376.0,2014-07-15,san diego california united state,,1,100.0,0,mount hope,1.0,0,mount hope,92102.0,1,24,0,7.0,2.0,3.0,3.0,425.0,425.0,500.0,150.0,1.0,0.0,2.0,5.0,1.0,2.0,2018-07-22,2018-07-22,0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
beautiful home mission valley great large group plenty space couple 15 min away pretty much everything san diego offer easy access freeway grocery store starbucks fry electronics walmart close needed keyless entry easy access arrival create one four digit code everyone stay need anything point time 10 minute away call whenever needed beautiful development amenity take walk along pathway see beautiful canyon home plenty guest parking close house 1 car allowed driveway night,beautiful development amenity take walk along pathway see beautiful canyon home,1 car allowed driveway night,plenty guest parking close house,keyless entry easy access arrival create one four digit code everyone stay,need anything point time 10 minute away call whenever needed,1 car driveway overnight smoking backyard allowed,43439832.0,2015-09-05,san diego california united state,,1,100.0,0,serra mesa,1.0,0,serra mesa,92123.0,1,24,0,5.0,2.5,3.0,3.0,90.0,90.0,0.0,0.0,1.0,0.0,6.0,1125.0,15.0,30.0,2017-03-19,2017-05-23,0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
nicest place south mission beach ocean view 3 bedroom 3 bath 2 car tandem garage new construction unit air conditioning heart south mission beach owner built expense spared 20 foot wall ceiling glass panel open completely outside deck 600sq ft penthouse deck built grill fridge outdoor dining table sectional couch room private dual shower bathroom jacuzzi tub master may cost little worth smoking pet must 28 older boogie board beach chair check guest personally close everything beachbay amusement park beach rental walk bike uber great family friendsnot party plan allowed people contract would unit rent,close everything beachbay amusement park beach rental,great family friendsnot party plan allowed people contract would unit rent,walk bike uber,boogie board beach chair,check guest personally,11pm quit hour shoe house party 7 people unless approved first must least 28 year old,90137743.0,2016-08-15,san diego california united state,hi name glen wife tracy rent unit help cover cost living san diego lived san diego 30 year know best restaurant thing area please feel free ask fun relax enjoy jewel beach thanks checking place look forward talking soon,1,100.0,1,mission beach,3.0,0,mission bay,92109.0,1,24,0,7.0,3.0,3.0,3.0,467.5,475.0,500.0,150.0,6.0,50.0,3.0,14.0,60.0,120.0,2017-08-14,2019-07-27,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2
brand new space beautifully decorated perfect location exploring san diego walk gaslamp 1 mile walk ballgame petco park 3 block 5 min drive beach minute major attraction walk score 82 coffee private deck wifi 15 min walk convention center beautifully decorated 800 sq ft modern light filled condo barrio logan great place stay visiting san diego walking distance convention center gaslamp petco park mission brewery new central library 5 min drive coronado hotel del coronado beach balboa park little italy farmer market saturday north park hillcrest farmer market sunday sea world zoo brand new comfortable king bed queen sofa sleeper vaulted ceiling make space feel large spacious french door open outdoor deck providing lot light nice breeze barrio logan great coffee roaster cafe virtuoso 500ft fm condo fair trade,favorite neighborhood la quatros milpas 2 block away cafe moto 1 mile away great coffee roaster salude taco half mile away mission brewery petco park boarder x brewing half mile away chicano park unfortunately san diego midst homeless crisis staying urban area san diego encounter homeless population,important entry gate located 1703 logan ave enter property please remember youre staying house hotel please treat space respect problem arise best take action asap one living site 247 condo smart tv via wifi connect subscription netflix hulu amazon prime cable tv,close freeway access bus station corner trolley 2 block away decobike 500 ft away walk many place near,visitor whole condo outside deck visit san diego,available meet arrival contact anytime question also give favorite thing san diego interested,smoking loud party,29882720.0,2015-03-23,san diego california united state,first foremost mother two age 14 11 wife active family camping hiking city exploring traveling love kind food music trying new food,1,100.0,0,barrio logan,13.0,1,east village,92113.0,1,2,0,4.0,1.0,1.0,1.0,150.0,450.0,0.0,65.0,4.0,0.0,3.0,1125.0,113.0,226.0,2015-07-12,2019-08-03,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
bedroom shared attached bathroom close sdsu restaurant grocery convenient store private yard fenced street parking guest make home access living room kitchen accommodate guest prefers sdsu area bus stop el cajon blvd nearby bird lime nearby close major supermarket store parking good day night hard,sdsu area,parking good day night hard,bus stop el cajon blvd nearby bird lime nearby close major supermarket store,,accommodate guest prefers,,68425727.0,2016-04-22,san diego california united state,,1,100.0,0,colina del sol,1.0,0,city height east,92115.0,1,24,1,1.0,1.0,1.0,1.0,75.0,75.0,0.0,10.0,1.0,20.0,1.0,1125.0,10.0,20.0,2019-06-17,2019-08-13,1,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cute cozy 1 bed1 bath condo heart san diegos famous north park fit 4 people 600sf walking distance 50 local restaurant craft brewery less 3 mile world famous san diego zoo balboa park short uberlyft ride downtowngaslamp quarter petco park convention center beautiful beach 20 minute hoping experience south border perfect space couple getaway small group 4 gorgeous tile floor granite counter top electric stove top condo come ac wall unit radiant heat cold san diego night provide following amenity coffee maker salt pepper along specie whod like cook home kitchen essential blow dryer iron shampoo conditioner shower gel hand soap along essential washer dryer located unit wifi tv amazon fire,north park surrounded great local restaurant independent coffee roaster plethora brewery choose around corner find tiger tiger june shine kombucha lover belching beaver name,since process moving closet may available use depending date stay,condo centrally located choose use uberlyft short ride bus stop around corner choose use public transportation choose drive 1 parking spot assigned worry looking street parking busy weekend,guest access area exception space door locked small front patio guest use grilling hang process remodeling back area area currently limit safety please go back patio,process moving area nearby available weekend need anything,10pm8am quiet hour,214678992.0,2018-09-10,san diego california united state,hello everyone excited new host grew san diego cant wait experience beautiful city lived northern california davis ca short period time let tell missed san diegos beauty beach sun favorite place donut nomad coffee location communal instagrammed coffee location sd pizza bronx spinach ricotta process creating list favorite place guest see try would like live san diego available weekend need anything go mexico puerto nuevo bajamarensenada summer weekend arrange assistance case problem available,1,100.0,0,north park,1.0,0,north hill,92104.0,1,15,0,4.0,1.0,1.0,2.0,92.0,184.0,250.0,65.0,1.0,0.0,2.0,1125.0,13.0,26.0,2019-06-19,2019-08-14,1,3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2
luxurious hometel downtown san diego community city living come life provided living convenience enjoy community feature like outdoor exercise area bike storage high speed wifi one inclusive space feel right home access like cozy library commercial grade kitchen wellconnected meeting room business center relaxing tv lounge california sunshine enjoy breath fresh air outdoor courtyard pop open outdoor fitness area invigorating morning workout starting day whether ’ working solo project tv lounge conducting business meeting conference room ’ access free wifi throughout common area unit come equipped microwave minifridge cook top central air murphy bed built couch hardwood flooring two tone paint subway style backsplash love cook home away home incl,,● washer dryer common area inside building ● balcony common area outdoor furniture ● possibility extra bed ● smoking violation smoking policy incur phone number hidden airbnb fine plus cleaning cost necessary remove smoke odor house andor linen ● 250 fine lost key andor fob ● free street parking available first come first serve basis ● game room building ● office building ● nearest paid parking lot padre parkade phone number hidden airbnb th ave san diego ca phone number hidden airbnb phone numb phone number hidden airbnb yelp page website hidden airbnb,,,customer support specialist available 247 answer inquiry,● smoking unithouse violation smoking policy incur 20000 fine plus cleaning cost necessary remove smoke odor unithouse andor linen,24831061.0,2014-12-14,new orleans louisiana united state,hosteeva born passion travel need revolutionize vacation rental managed today take principle across north america bringing property match 5 star hotel standard first class customer service allaround smooth travel experience,1,88.0,0,central city,21.0,0,east village,92101.0,1,2,0,3.0,1.0,0.0,1.0,75.0,75.0,0.0,50.0,3.0,0.0,1.0,1125.0,24.0,48.0,2018-07-28,2019-07-05,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
fantastic location located across street fashion valley mall mission valley golf course 10 minute major tourist destination landmark san diego zoo sea world old town ocean beach less 15 minute drive apartment allows live fully equipped two full bath kitchen walkin closet access pool lounge area gym across street fashion valley mall couple step mission valley mall access onsite gym pool lounge area patio always available text airbnb app call limited regular business hour bus stop street ubers usually roaming area wait time minimal detailed instruction provided checkin date parking guaranteed 1 vehicle please provide notice advance least day advance one vehicle may attempt get extra spot notify date che,,detailed instruction provided checkin date parking guaranteed 1 vehicle please provide notice advance least day advance one vehicle may attempt get extra spot notify date checkin odds favor,bus stop street ubers usually roaming area wait time minimal,access onsite gym pool lounge area patio,always available text airbnb app call limited regular business hour,please wash dish dishwashing machine plan using kitchen put away thanks,141915307.0,2017-07-22,san diego california united state,,1,100.0,0,linda vista,3.0,0,linda vista,92108.0,1,2,0,6.0,2.0,2.0,3.0,169.0,169.0,100.0,29.0,6.0,15.0,1.0,30.0,116.0,232.0,2017-11-26,2019-07-26,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
property 1668 square foot 3 bedroom 25 bathroom accommodation located san diego walk beach enjoy ocean view huge yard wfirepit offer 1 sofa bed 2 twin bed 2 queen bed host 8 people accommodation feature washerdryer please see description inquire detail sleeping eight absolutely stunning la jolla home need next family friend beach escape plus youll home essential upscale private setting truly enjoy quality time together get beautiful ocean view beach short walk away main hub la jolla bustling san diego quick drive away offer something pique everyones interest gather whole group downstairs chat together living room spend quite night watching movie flatscreen tv cable provided play game charade outing there wif,,,,,,due local law hoa requirement guest must least 21 year age book guest 21 must accompanied parent legal guardian duration reservation dog welcome home animal allowed without specific vacasa approval property shall used number adult child listed reservation guest shall abide vacasa ’ good neighbor policy shall engage illegal activity quiet hour 10 pm 8 early checkin available reservation notified 9am morning arrival email late checkout offered whenever possible small fee smoking kind permitted anywhere premise commercial photography filming permitted property tent structure may erected renter liable damage property agrees accept charge card f,100067582.0,2016-10-17,san diego california united state,greeting team vacasa yes professional property management company—but also real people trusted owner vacation home take care heavy lifting like housekeeping reservation maintenance guest care honest renting vacation home really fulltime job local team ground take care home guest like think best world enjoy oneofakind vacation experience unique property without compromising service convenience trust home cleaned professional housekeeper call answered right away around clock dedicated guest service team check listing question get touch wed love help plan perfect getaway,1,100.0,0,newport beach,21.0,1,la jolla,92037.0,0,24,0,8.0,2.5,3.0,5.0,466.0,466.0,0.0,224.0,1.0,0.0,2.0,28.0,19.0,38.0,2017-02-06,2019-06-10,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
